,User Id,Movie Titile,Movie Genre
0,432,Rear Window (1954),Mystery|Thriller
1,432,Cool Hand Luke (1967),Drama
2,432,"Great Dictator, The (1940)",Comedy|Drama|War
3,432,High Noon (1952),Drama|Western
4,432,This Is Spinal Tap (1984),Comedy
5,432,Indiana Jones and the Last Crusade (1989),Action|Adventure
6,432,Raising Arizona (1987),Comedy
7,432,"Last of the Mohicans, The (1992)",Action|Romance|War|Western
8,432,Hamlet (1996),Crime|Drama|Romance
9,432,Dr. Horrible's Sing-Along Blog (2008),Comedy|Drama|Musical|Sci-Fi
10,288,"Godfather, The (1972)",Crime|Drama
11,288,"Maltese Falcon, The (1941)",Film-Noir|Mystery
12,288,My Fair Lady (1964),Comedy|Drama|Musical|Romance
13,288,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance
14,288,Notorious (1946),Film-Noir|Romance|Thriller
15,288,To Catch a Thief (1955),Crime|Mystery|Romance|Thriller
16,288,Benny & Joon (1993),Comedy|Romance
17,288,Kolya (Kolja) (1996),Comedy|Drama
18,288,Waiting for Guffman (1996),Comedy
19,288,Donnie Brasco (1997),Crime|Drama
20,599,Murder in the First (1995),Drama|Thriller
21,599,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime
22,599,Once Were Warriors (1994),Crime|Drama
23,599,Priest (1994),Drama
24,599,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
25,599,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
26,599,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
27,599,Afterglow (1997),Drama|Romance
28,599,From Up on Poppy Hill (Kokuriko-zaka kara) (2011),Animation|Drama|Romance
29,599,Zero Dark Thirty (2012),Action|Drama|Thriller
30,42,One Flew Over the Cuckoo's Nest (1975),Drama
31,42,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
32,42,Brazil (1985),Fantasy|Sci-Fi
33,42,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western
34,42,12 Angry Men (1957),Drama
35,42,Lawrence of Arabia (1962),Adventure|Drama|War
36,42,Apocalypse Now (1979),Action|Drama|War
37,42,"Third Man, The (1949)",Film-Noir|Mystery|Thriller
38,42,Alien (1979),Horror|Sci-Fi
39,42,Amadeus (1984),Drama
40,75,Office Space (1999),Comedy|Crime
41,75,"Angry Red Planet, The (1959)",Sci-Fi
42,75,"Eye for an Eye, An (1981)",Action|Crime|Thriller
43,75,"Gauntlet, The (1977)",Action
44,75,Lord of the Flies (1990),Adventure|Drama|Thriller
45,75,Ocean's Eleven (a.k.a. Ocean's 11) (1960),Comedy|Crime
46,75,"Stunt Man, The (1980)",Action|Adventure|Comedy|Drama|Romance|Thriller
47,75,Ocean's Eleven (2001),Crime|Thriller
48,75,"Business of Strangers, The (2001)",Action|Drama|Thriller
49,75,"Best Offer, The (Migliore offerta, La) (2013)",Thriller
50,51,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller
51,51,Some Like It Hot (1959),Comedy|Crime
52,51,"Maltese Falcon, The (1941)",Film-Noir|Mystery
53,51,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance
54,51,Citizen Kane (1941),Drama|Mystery
55,51,Notorious (1946),Film-Noir|Romance|Thriller
56,51,Monty Python's Life of Brian (1979),Comedy
57,51,Dial M for Murder (1954),Crime|Mystery|Thriller
58,51,Reservoir Dogs (1992),Crime|Mystery|Thriller
59,51,Silkwood (1983),Drama
60,354,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
61,354,One Flew Over the Cuckoo's Nest (1975),Drama
62,354,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
63,354,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
64,354,Goodfellas (1990),Crime|Drama
65,354,Little Big Man (1970),Western
66,354,All About My Mother (Todo sobre mi madre) (1999),Drama
67,354,Dogville (2003),Drama|Mystery|Thriller
68,354,Kingsman: The Secret Service (2015),Action|Adventure|Comedy|Crime
69,354,Zootopia (2016),Action|Adventure|Animation|Children|Comedy
70,416,One Flew Over the Cuckoo's Nest (1975),Drama
71,416,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
72,416,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
73,416,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western
74,416,12 Angry Men (1957),Drama
75,416,Lawrence of Arabia (1962),Adventure|Drama|War
76,416,Apocalypse Now (1979),Action|Drama|War
77,416,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
78,416,"Third Man, The (1949)",Film-Noir|Mystery|Thriller
79,416,Goodfellas (1990),Crime|Drama
80,438,One Flew Over the Cuckoo's Nest (1975),Drama
81,438,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
